datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty
1174,2015,49441,35863.0,30788.0,3188.0,15976.0,1827.0,5375.0,3365.0,1537.0,Muskegon,57967.647392381135,777.7699911820671,126114.43989249716,8.889384602515127,85.8489250759836,5.094386972645903,4.285754119844966,9.382929481638458,14.987591668293227
1175,2016,49441,36012.0,30745.0,3413.0,16390.0,1508.0,5627.0,3635.0,1585.0,Muskegon,57933.586795385134,792.2020941055886,126574.5974075756,9.477396423414417,85.3743196712207,4.187493057869599,4.401310674219705,10.093857603021215,15.62534710652005
1176,2017,49441,35989.0,30873.0,3389.0,16666.0,1294.0,5782.0,3929.0,1520.0,Muskegon,58691.68133975196,788.1081429503917,128782.34007832898,9.416766234127094,85.78454527772375,3.5955430826085744,4.2235127400038905,10.91722470754953,16.066020172830587
1177,2018,49441,35802.0,30212.0,3854.0,16769.0,1173.0,5357.0,3500.0,1568.0,Muskegon,59447.38968646832,796.0133011027172,136632.7708904969,10.764761745153901,84.38634713144518,3.276353276353276,4.37964359532987,9.77599016814703,14.962851237361042
1178,2019,49441,35365.0,29837.0,3791.0,16812.0,869.0,4546.0,2985.0,1367.0,Muskegon,62705.03692056153,793.7648177049718,144212.5269403928,10.719638060229041,84.36872614166549,2.457231726283048,3.8654036476742544,8.440548564965361,12.85451717800085
1179,2020,49441,35045.0,29548.0,3045.0,16207.0,1012.0,4129.0,2829.0,998.0,Muskegon,65296.22900108575,835.8934512057062,155052.34862505845,8.688828648880012,84.31445284634042,2.8877157939791696,2.8477671565130547,8.072478242259953,11.7819945783992
1180,2011,49442,43149.0,30043.0,8985.0,14982.0,3933.0,9988.0,6018.0,2852.0,Muskegon,41885.53582082253,652.9164084485127,109993.38665149218,20.823194048529515,69.62617905397576,9.114927344782034,6.609654916684048,13.947020788430786,23.14769751326798
1181,2012,49442,42775.0,29835.0,9254.0,14408.0,3948.0,10767.0,6358.0,3371.0,Muskegon,40389.9956793296,667.5483941217976,104710.87136423426,21.634132086499122,69.74868497954412,9.229690239625949,7.880771478667446,14.863822326125073,25.171244886031563
1182,2013,49442,42437.0,29899.0,8944.0,14290.0,4135.0,10983.0,6523.0,3426.0,Muskegon,39086.22563820792,653.9876457887078,97574.9567516752,21.07594787567453,70.45502745245894,9.743855597709546,8.073143718924523,15.371020571670948,25.880717298583782
1183,2014,49442,42822.0,30372.0,8897.0,14593.0,3588.0,12101.0,7175.0,3712.0,Muskegon,38099.33386557178,661.5674337658827,90740.28031224656,20.77670356358881,70.92615945074961,8.378870673952642,8.668441455326702,16.755406099668395,28.258838914576618
1184,2015,49442,41236.0,29773.0,8437.0,15366.0,3072.0,11504.0,6867.0,3654.0,Muskegon,39596.84875768405,665.9253808798525,89090.01717176406,20.460277427490542,72.20147443980987,7.4498011446309045,8.861189252109806,16.652924628964982,27.897953244737607
1185,2016,49442,41550.0,29638.0,8477.0,15628.0,2898.0,12228.0,6854.0,4017.0,Muskegon,40464.51497664652,666.5161849446057,85567.98260050749,20.401925391095066,71.3309265944645,6.974729241877256,9.667870036101082,16.49578820697954,29.42960288808664
1186,2017,49442,41374.0,29526.0,8314.0,16253.0,2340.0,10936.0,6106.0,3368.0,Muskegon,43897.87217689295,687.4192477154047,87263.70920365535,20.094745492338184,71.36365833615314,5.655725818146662,8.140378015178614,14.75806061777928,26.432058780876876
1187,2018,49442,41478.0,29852.0,8340.0,16330.0,1790.0,9988.0,5450.0,3174.0,Muskegon,45299.95206824182,681.9504195422669,89066.12240996867,20.10704469839433,71.97068325377309,4.315540768600222,7.652249385216258,13.1394956362409,24.080235305463138
1188,2019,49442,41580.0,29685.0,8513.0,17101.0,1683.0,8827.0,4690.0,2732.0,Muskegon,46913.16930105571,698.4176924551253,90818.13680047877,20.473785473785476,71.3924963924964,4.0476190476190474,6.5704665704665715,11.27946127946128,21.22895622895623
1189,2020,49442,41823.0,29229.0,8552.0,17316.0,2123.0,7933.0,4245.0,2470.0,Muskegon,48779.680794092994,719.3392939249105,96304.34409665744,20.448078808311216,69.88738254070726,5.0761542691820285,5.905841283504292,10.14991750950434,18.968031944145565
1190,2011,49444,27199.0,15690.0,10406.0,8942.0,2406.0,6672.0,1870.0,4453.0,Muskegon,41685.05526387154,658.3348018796207,117714.59729082108,38.2587595132174,57.68594433618883,8.845913452700467,16.371925438435238,6.875252766645833,24.53031361447112
1191,2012,49444,26882.0,15406.0,10228.0,8705.0,2240.0,7054.0,1882.0,4655.0,Muskegon,39447.73055044992,668.8755281061351,109753.98050471702,38.04776430325125,57.30972397887062,8.332713339781266,17.316419909232945,7.000967189941225,26.240607097686187
