datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty,Lat,Lon
38,2019,48030,16525.0,13023.0,2197.0,8086.0,586.0,3718.0,2285.0,923.0,Oakland,46366.11516993471,910.565046136034,87719.35522985875,13.29500756429652,78.80786686838124,3.546142208774584,5.585476550680787,13.82753403933434,22.49924357034796,42.460689256,-83.09825463
39,2020,48030,16452.0,13166.0,1823.0,8716.0,455.0,2957.0,1948.0,636.0,Oakland,51478.08613235141,899.4684460861401,101366.79739269197,11.080719669341113,80.0267444687576,2.7656212010697785,3.8657913931436902,11.840505713591051,17.973498662776564,42.460689256,-83.09825463
40,2011,48033,16481.0,4004.0,11498.0,7029.0,1057.0,2159.0,557.0,1189.0,Oakland,58808.533104530565,1044.395333846065,188560.09140255803,69.76518415144713,24.29464231539348,6.413445786056671,7.214368060190522,3.379649293125417,13.099933256477156,42.456478908,-83.282767749
41,2012,48033,16258.0,4089.0,11366.0,6545.0,1187.0,2537.0,901.0,1360.0,Oakland,55429.07798984295,1043.12731168933,150629.70722231417,69.91019805634149,25.150695042440645,7.301021035797762,8.365112559970477,5.54188707098044,15.604625415180218,42.456478908,-83.282767749
42,2013,48033,16553.0,3839.0,11977.0,6755.0,1278.0,3098.0,917.0,1874.0,Oakland,57565.30055761364,1029.376554471426,129620.35139532188,72.35546426629614,23.19217060351598,7.720654866187399,11.321210656678549,5.539781308524135,18.71564066936507,42.456478908,-83.282767749
43,2014,48033,15976.0,4118.0,11097.0,6659.0,1155.0,2682.0,996.0,1449.0,Oakland,57459.83452453366,1032.2511320627195,112749.62489862124,69.46044066099148,25.776164246369557,7.229594391587381,9.06985478217326,6.234351527290936,16.787681522283428,42.456478908,-83.282767749
44,2015,48033,16322.0,4113.0,11414.0,7059.0,912.0,3017.0,963.0,1713.0,Oakland,58659.284177928166,1022.028335520237,112230.28137222223,69.93015561818405,25.199117755177063,5.587550545276314,10.495037372870971,5.900012253400319,18.484254380590613,42.456478908,-83.282767749
45,2016,48033,16420.0,4095.0,11297.0,7323.0,806.0,3028.0,866.0,1925.0,Oakland,59297.0884765861,1049.9216856175028,118449.44772444136,68.80024360535931,24.93909866017053,4.908647990255786,11.723507917174178,5.274056029232643,18.44092570036541,42.456478908,-83.282767749
46,2017,48033,16507.0,3824.0,11542.0,7625.0,722.0,2712.0,589.0,1828.0,Oakland,58829.66241840731,1069.042591383812,126793.4236292428,69.92185133579693,23.16592960562186,4.373901980977768,11.074089780093294,3.568183195008178,16.42939359059793,42.456478908,-83.282767749
47,2018,48033,16457.0,3557.0,11616.0,8012.0,588.0,1985.0,544.0,1155.0,Oakland,60483.66309979411,1106.6526381184117,154712.95105273847,70.58394604119827,21.613902898462666,3.5729476818375163,7.018290089323692,3.3055842498632804,12.061736647019504,42.456478908,-83.282767749
48,2019,48033,16757.0,3422.0,11837.0,7833.0,564.0,2556.0,544.0,1439.0,Oakland,58525.25731742138,1140.5899858012883,168526.0438791036,70.63913588351137,20.421316464760995,3.36575759384138,8.587455988542102,3.246404487676792,15.253326967834338,42.456478908,-83.282767749
49,2020,48033,17247.0,3501.0,12135.0,8017.0,527.0,2272.0,392.0,1425.0,Oakland,61162.677019137525,1138.4633342477716,177185.86536120955,70.36006261958602,20.29918246651592,3.055603873137357,8.262306488084885,2.2728590479503685,13.173305502406215,42.456478908,-83.282767749
50,2011,48034,13095.0,2825.0,9199.0,5956.0,818.0,2206.0,510.0,1511.0,Oakland,55950.330569621095,1117.5436451660228,235022.81507430904,70.24818633066056,21.57311951126384,6.246659030164184,11.538755250095456,3.8946162657502863,16.846124474990454,42.47880169,-83.284885545
51,2012,48034,13296.0,2740.0,9460.0,5834.0,890.0,2130.0,490.0,1473.0,Oakland,57306.97257768061,1112.1382788748836,190311.0133540075,71.14921780986762,20.607701564380264,6.693742478941036,11.078519855595667,3.6853188929001206,16.01985559566787,42.47880169,-83.284885545
52,2013,48034,13463.0,2864.0,9770.0,5789.0,917.0,2379.0,420.0,1792.0,Oakland,53275.14160123972,1084.3115167176777,162319.7336847573,72.56926390848993,21.27311891851741,6.811260491718042,13.310554854044415,3.1196612939166606,17.670652900542226,42.47880169,-83.284885545
53,2014,48034,13997.0,3035.0,10213.0,6184.0,874.0,2362.0,546.0,1598.0,Oakland,54607.62940152745,1078.5865943498245,157669.2813936199,72.96563549332001,21.683217832392657,6.244195184682432,11.41673215689076,3.9008358934057297,16.87504465242552,42.47880169,-83.284885545
54,2015,48034,13807.0,2953.0,9973.0,6274.0,727.0,2051.0,432.0,1435.0,Oakland,52204.43603623369,1078.5934257880238,169823.82782669598,72.23147678713696,21.387701890345475,5.265445064097921,10.393278771637576,3.128847685956399,14.854783805316144,42.47880169,-83.284885545
55,2016,48034,13348.0,2935.0,9397.0,6506.0,697.0,1812.0,406.0,1340.0,Oakland,52361.51148924823,1100.703871137092,170120.32149062317,70.40005993407252,21.98831285585856,5.221756068324843,10.038957147138149,3.041654180401558,13.575067425831586,42.47880169,-83.284885545
56,2017,48034,13842.0,2751.0,10049.0,6782.0,711.0,1782.0,319.0,1327.0,Oakland,56267.68941742819,1111.3070659268928,203366.7069190601,72.59789047825458,19.87429562201994,5.136540962288687,9.586764918364398,2.304580262967779,12.873862158647595,42.47880169,-83.284885545
57,2018,48034,13819.0,2822.0,9692.0,6961.0,554.0,1496.0,234.0,1115.0,Oakland,55774.32221323977,1162.4706439884194,209317.52201252853,70.13532093494464,20.42115927346407,4.00897315290542,8.068601201244663,1.6933207902163687,10.825674795571317,42.47880169,-83.284885545
58,2019,48034,13846.0,2810.0,9640.0,6895.0,527.0,1495.0,210.0,1162.0,Oakland,57781.54974047258,1171.5778015074884,221682.06620589303,69.62299581106457,20.29466994077712,3.806153401704463,8.39231547017189,1.5166835187057632,10.79734219269103,42.47880169,-83.284885545
59,2020,48034,14213.0,2346.0,10192.0,7265.0,523.0,1708.0,166.0,1450.0,Oakland,59656.89149224724,1179.6693494480528,245470.11912167567,71.70899880391191,16.506015619503273,3.679729824808274,10.20192781256596,1.1679448392316891,12.017167381974248,42.47880169,-83.284885545
60,2011,48067,24760.0,22997.0,577.0,15197.0,1253.0,1814.0,1666.0,14.0,Oakland,87790.16496916943,1103.9976615882529,229468.96180742333,2.3303715670436187,92.87964458804522,5.060581583198707,0.0565428109854604,6.72859450726979,7.326332794830372,42.490145586,-83.136844064
61,2012,48067,24457.0,22861.0,466.0,15095.0,1211.0,1907.0,1738.0,52.0,Oakland,87444.85822800249,1102.8483409845203,215393.8456579876,1.9053849613607556,93.47426094778592,4.951547614179989,0.2126180643578525,7.106349920268226,7.797358629431246,42.490145586,-83.136844064
62,2013,48067,24944.0,23146.0,522.0,15742.0,1027.0,1825.0,1634.0,48.0,Oakland,87188.32496125896,1117.010899007113,208622.0590065978,2.092687620269404,92.7918537524054,4.11722257857601,0.1924310455420141,6.550673508659396,7.316388710711995,42.490145586,-83.136844064
63,2014,48067,25366.0,23483.0,649.0,15995.0,965.0,1844.0,1666.0,87.0,Oakland,87660.25916632875,1130.070441335496,208380.87067450664,2.558542931483088,92.57667744224553,3.8043049751636047,0.3429787905069778,6.567846723961209,7.269573444768588,42.490145586,-83.136844064
64,2015,48067,25210.0,23331.0,582.0,16137.0,818.0,1794.0,1617.0,74.0,Oakland,88609.21390448787,1136.444086289169,218032.71157765057,2.3086076953589845,92.54660848869496,3.244744149147164,0.2935343117810392,6.414121380404601,7.116223720745736,42.490145586,-83.136844064
65,2016,48067,25017.0,23035.0,644.0,16210.0,561.0,1707.0,1479.0,149.0,Oakland,92908.54751736407,1145.1382834667322,227504.1911277588,2.574249510332973,92.07738737658391,2.242475116920494,0.5955949954031259,5.911979853699485,6.823360115121717,42.490145586,-83.136844064
66,2017,48067,25199.0,23081.0,727.0,16259.0,516.0,1572.0,1350.0,107.0,Oakland,97471.82287859009,1170.9745593994778,244263.80140339423,2.8850351204412874,91.59490455970474,2.047700305567681,0.4246200246041509,5.357355450613119,6.23834279138061,42.490145586,-83.136844064
67,2018,48067,24901.0,22582.0,881.0,15886.0,562.0,1602.0,1320.0,137.0,Oakland,99531.99851059508,1235.2767386014727,265863.58882866666,3.5380105216657967,90.68712099915666,2.256937472390667,0.5501787076824224,5.300991928035019,6.433476567206137,42.490145586,-83.136844064
68,2019,48067,24556.0,22237.0,746.0,16028.0,487.0,1484.0,1223.0,105.0,Oakland,102425.45746058197,1269.3086048885812,279128.7091689256,3.037954064179834,90.5562795243525,1.9832220231308029,0.427594070695553,4.980452842482489,6.043329532497149,42.490145586,-83.136844064
69,2020,48067,24685.0,22077.0,744.0,16204.0,570.0,1475.0,1198.0,109.0,Oakland,105414.4054000796,1289.1596184088005,283497.38457793527,3.0139760988454527,89.43487948146648,2.3090945918574035,0.4415637026534333,4.853149686044157,5.975288636823982,42.490145586,-83.136844064
70,2011,48069,2531.0,2335.0,59.0,1487.0,98.0,88.0,48.0,29.0,Oakland,145957.97305047145,1786.7152339078596,344067.9828753573,2.3310944290794158,92.25602528644804,3.871987356775978,1.1457921770051362,1.8964836033188464,3.476886606084552,42.471545013,-83.143618091
