datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value
70,2011,48069,2531.0,2335.0,59.0,1487.0,98.0,88.0,48.0,29.0,107750.0,1319.0,254000.0,Oakland,145957.97305047145,1786.7152339078596,344067.9828753573
71,2012,48069,2541.0,2320.0,35.0,1493.0,82.0,99.0,83.0,0.0,100714.0,1379.0,246600.0,Oakland,133660.972098574,1830.1177644015088,327271.2405376447
72,2013,48069,2539.0,2293.0,39.0,1504.0,90.0,96.0,88.0,0.0,97670.0,1330.0,239900.0,Oakland,127749.94672836618,1739.6071377979627,313783.272449422
73,2014,48069,2544.0,2234.0,44.0,1516.0,72.0,87.0,78.0,0.0,100543.0,1366.0,233700.0,Oakland,129408.51068701001,1758.173374560692,300794.3760137875
74,2015,48069,2555.0,2323.0,34.0,1559.0,65.0,91.0,81.0,0.0,105438.0,1385.0,247300.0,Oakland,135547.95426488394,1780.5147732019223,317921.5187096284
75,2016,48069,2562.0,2311.0,58.0,1472.0,80.0,64.0,64.0,0.0,107656.0,1330.0,268400.0,Oakland,136675.17410742186,1688.5076685263346,340748.46483644226
76,2017,48069,2365.0,2121.0,56.0,1364.0,51.0,65.0,49.0,0.0,102287.0,1162.0,295900.0,Oakland,127150.18551729765,1444.450571148825,367825.23580287205
77,2018,48069,2389.0,2138.0,49.0,1319.0,40.0,95.0,66.0,0.0,116583.0,990.0,332900.0,Oakland,141465.8821378934,1201.300561115381,403952.4816114246
78,2019,48069,2431.0,2198.0,51.0,1307.0,38.0,95.0,64.0,0.0,122813.0,1177.0,346100.0,Oakland,146373.33116636742,1402.7945802383663,412495.5006121483
79,2020,48069,2432.0,2195.0,28.0,1257.0,95.0,86.0,55.0,0.0,123155.0,1281.0,357100.0,Oakland,144992.1943425898,1508.1401563302952,420419.08651487
80,2011,48070,6231.0,5956.0,137.0,3362.0,120.0,142.0,142.0,0.0,109946.0,985.0,282800.0,Oakland,148932.67104414976,1334.2793824103424,383080.41557933483
81,2012,48070,6236.0,5948.0,130.0,3338.0,127.0,136.0,131.0,0.0,112593.0,995.0,270000.0,Oakland,149425.99669852,1320.4983144158819,358326.17577114387
82,2013,48070,6280.0,5971.0,131.0,3415.0,103.0,112.0,105.0,2.0,112869.0,1284.0,250500.0,Oakland,147629.86318505133,1679.4402743854016,327647.8105401426
83,2014,48070,6310.0,5953.0,136.0,3422.0,117.0,114.0,107.0,2.0,113750.0,1688.0,266100.0,Oakland,146407.1898655042,2172.61834279535,342496.2920721817
84,2015,48070,6333.0,5865.0,178.0,3327.0,122.0,142.0,133.0,2.0,115025.0,1840.0,275300.0,Oakland,147872.71609209466,2365.4492293801713,353917.4852436745
85,2016,48070,6330.0,5871.0,116.0,3210.0,136.0,91.0,83.0,1.0,121528.0,1750.0,298800.0,Oakland,154286.43604561535,2221.720616482019,379342.9258313299
86,2017,48070,6347.0,5903.0,86.0,3178.0,109.0,90.0,89.0,1.0,125873.0,1600.0,321400.0,Oakland,156469.30012238905,1988.916449086162,399523.5917101827
87,2018,48070,6340.0,5927.0,96.0,3124.0,126.0,138.0,138.0,0.0,130417.0,1521.0,349500.0,Oakland,158252.54068584307,1845.6344984409036,424095.50112103607
88,2019,48070,6322.0,5925.0,103.0,3167.0,120.0,130.0,130.0,0.0,136331.0,1708.0,362900.0,Oakland,162484.61165546026,2035.6611240842221,432518.39691461605
89,2020,48070,6303.0,5869.0,62.0,3500.0,65.0,92.0,92.0,0.0,150114.0,1754.0,372200.0,Oakland,176731.42187928644,2065.0100188940964,438196.5387869913
90,2011,48071,29850.0,25822.0,1393.0,14178.0,2427.0,4862.0,4060.0,473.0,42294.0,644.0,113800.0,Oakland,57291.382943820325,872.3613424083862,154153.2931150223
91,2012,48071,29854.0,25028.0,1884.0,13863.0,2362.0,5110.0,4187.0,561.0,41074.0,648.0,96600.0,Oakland,54510.70127268135,859.9828218507453,128201.14288700925
92,2013,48071,29933.0,25296.0,1771.0,13785.0,2271.0,5560.0,4584.0,585.0,40140.0,653.0,84200.0,Oakland,52502.12820391746,854.1078654000523,110131.51955081838
93,2014,48071,30028.0,25407.0,2168.0,14276.0,1990.0,5945.0,4643.0,937.0,40820.0,678.0,80300.0,Oakland,52539.26584887808,872.6512064071371,103353.82282373616
94,2015,48071,30123.0,25614.0,2270.0,14615.0,1582.0,5757.0,4434.0,1007.0,41206.0,695.0,79700.0,Oakland,52973.207035782245,893.471312184358,102459.94759869545
95,2016,48071,30168.0,25354.0,2192.0,14981.0,1043.0,5317.0,4133.0,882.0,43158.0,719.0,84000.0,Oakland,54791.43906636056,912.8097847146125,106642.58959113693
96,2017,48071,30173.0,24645.0,2536.0,15402.0,824.0,5183.0,3930.0,898.0,46687.0,781.0,91300.0,Oakland,58035.338911553525,970.8398417101827,113492.54487597912
97,2018,48071,30226.0,24726.0,2872.0,16171.0,841.0,5219.0,3943.0,820.0,50350.0,813.0,110500.0,Oakland,61096.447729453976,986.5225820068736,134084.55757904
