datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty,% Poverty
812,2013,48626,6105.0,5942.0,35.0,2846.0,229.0,372.0,364.0,8.0,Saginaw,82933.4813377576,677.5312010371013,174353.1063672695,0.5733005733005733,97.33005733005733,3.7510237510237507,0.13104013104013104,5.962325962325962,6.093366093366093
813,2014,48626,5982.0,5828.0,40.0,2827.0,214.0,342.0,324.0,18.0,Saginaw,79501.3565152744,635.8255102730468,173886.69319410654,0.6686726847208292,97.4256101638248,3.577398863256436,0.3009027081243731,5.416248746238716,5.717151454363089
814,2015,48626,5973.0,5785.0,63.0,2817.0,176.0,285.0,233.0,43.0,Saginaw,78256.51681524955,663.3542404131349,172523.52531674944,1.054746358613762,96.852502929851,2.9465930018416207,0.7199062447681233,3.9008873263016905,4.771471622300352
815,2016,48626,5852.0,5657.0,52.0,2679.0,134.0,326.0,266.0,52.0,Saginaw,74228.32057398325,761.7327827938352,167581.21221464375,0.888585099111415,96.66780587833219,2.2898154477101844,0.888585099111415,4.545454545454546,5.570745044429255
816,2017,48626,5930.0,5808.0,57.0,2769.0,131.0,280.0,217.0,57.0,Saginaw,74034.928671671,714.7668488903394,164085.60704960834,0.9612141652613828,97.94266441821247,2.209106239460371,0.9612141652613828,3.659359190556492,4.721753794266442
817,2018,48626,5875.0,5785.0,45.0,2857.0,86.0,267.0,225.0,37.0,Saginaw,74848.30556694954,680.7369846320493,169759.54393943615,0.7659574468085106,98.46808510638297,1.4638297872340424,0.6297872340425532,3.829787234042553,4.54468085106383
818,2019,48626,5847.0,5752.0,40.0,2818.0,78.0,279.0,242.0,31.0,Saginaw,75998.80985852137,698.4176924551253,171505.64154316133,0.6841115101761587,98.37523516333162,1.3340174448435094,0.530186420386523,4.1388746365657605,4.771677783478707
819,2020,48626,5702.0,5589.0,9.0,2792.0,158.0,255.0,255.0,0.0,Saginaw,78809.44735733798,715.8073497648863,192020.03083331083,0.1578393546124167,98.01823921431077,2.770957558751315,0.0,4.4721150473518065,4.4721150473518065
820,2011,48637,3253.0,3153.0,1.0,1416.0,186.0,371.0,313.0,1.0,Saginaw,60367.67581433189,671.8807854573907,143045.58658125091,0.03074085459575776,96.92591454042422,5.717798954810944,0.03074085459575776,9.62188748847218,11.40485705502613
821,2012,48637,3181.0,3091.0,1.0,1422.0,134.0,366.0,317.0,1.0,Saginaw,60634.09747641489,647.6413843567341,138021.93437110726,0.03143665513989311,97.17070103740963,4.212511788745677,0.03143665513989311,9.965419679346118,11.50581578120088
822,2013,48637,3308.0,3217.0,3.0,1502.0,133.0,382.0,328.0,1.0,Saginaw,63627.76603407496,622.5962387908498,133413.47974089638,0.09068923821039904,97.2490931076179,4.02055622732769,0.03022974607013301,9.915356711003627,11.54776299879081
823,2014,48637,3384.0,3314.0,7.0,1583.0,130.0,356.0,319.0,4.0,Saginaw,63480.87042950798,629.3900293998378,135402.51757231684,0.20685579196217493,97.93144208037825,3.84160756501182,0.1182033096926714,9.426713947990544,10.520094562647754
824,2015,48637,3320.0,3262.0,2.0,1494.0,111.0,333.0,323.0,0.0,Saginaw,64355.64588194095,682.6377939135167,131513.8348726041,0.06024096385542169,98.25301204819277,3.3433734939759034,0.0,9.728915662650603,10.03012048192771
825,2016,48637,3326.0,3260.0,3.0,1498.0,114.0,338.0,328.0,0.0,Saginaw,67380.34285666668,597.9602344931606,132287.59327852936,0.09019843656043296,98.01563439567047,3.4275405892964526,0.0,9.861695730607337,10.16235718580878
826,2017,48637,3317.0,3251.0,4.0,1440.0,107.0,317.0,307.0,1.0,Saginaw,61755.85574412532,661.3147193211488,132760.17297650132,0.12059089538739826,98.01025022610793,3.225806451612903,0.030147723846849564,9.255351220982815,9.55682845945131
827,2018,48637,3192.0,3122.0,3.0,1370.0,83.0,318.0,311.0,3.0,Saginaw,60933.84745148482,720.7803366692287,130444.25284838736,0.09398496240601503,97.80701754385966,2.600250626566416,0.09398496240601503,9.74310776942356,9.962406015037594
828,2019,48637,3163.0,3054.0,4.0,1342.0,64.0,343.0,323.0,4.0,Saginaw,61298.666823126296,709.1442440457331,126573.30876917118,0.12646221941195068,96.55390452102435,2.023395510591211,0.12646221941195068,10.211824217515018,10.844135314574771
829,2020,48637,3344.0,3043.0,6.0,1300.0,137.0,479.0,303.0,6.0,Saginaw,65856.63080780956,640.459207684372,131741.5171688993,0.17942583732057416,90.99880382775119,4.09688995215311,0.17942583732057416,9.061004784688995,14.324162679425836
